Series Name	Country Name	Country Code	1990 [YR1990]	2000 [YR2000]	2008 [YR2008]	2009 [YR2009]	2010 [YR2010]	2011 [YR2011]	2012 [YR2012]	2013 [YR2013]	2014 [YR2014]	2015 [YR2015]	2016 [YR2016]	2017 [YR2017]
GDP (current US$)	Ethiopia	ETH	12175166763	8242392104	27066912635	32437389116	29933790334	31952763089	43310721414	47648211133	55612228234	64464547915	73000980434	80561496134
GDP (current US$)	"Gambia, The"	GMB	317083373.5	782915402.4	965781078.2	900639534	951806368.7	898290989.9	910026155.7	898947649.5	833249466.8	907655651.5	962797146.5	1014621520
GDP (current US$)	Georgia	GEO	7753540784	3057453529	12795044473	10766809099	11638536834	14434619982	15846474596	16140047012	16509305828	13993546732	14378016732	15159281211
GDP (current US$)	Ghana	GHA	5889174825	4983024408	28526891010	25977847814	32174772956	39566292433	41939728979	47805069495	39086625009	37338430643	42803583022	47330016343
GDP (current US$)	Guinea	GIN	2666616177	2995360969	7009809997	6493151288	6992497899	6511123904	7504778989	8263033525	8765037367	8857790362	9275886922	10491474930
GDP (current US$)	Guinea-Bissau	GNB	243961995.5	370173838.7	864654795.3	826798659.8	850633309.8	1099385895	989875559.1	1045790133	1053512334	1047808175	1178204501	1346933490
GDP (current US$)	Haiti	HTI	..	3953846311	6548530572	6584649419	6622541529	7516834160	7890216508	8452509316	8776350790	8724656126	7970649131	8408150518
GDP (current US$)	Honduras	HND	3048881323	7103507989	13789715133	14587496229	15839344592	17710315006	18528601901	18499710128	19756494435	20979767785	21643936939	22978532897
GDP (current US$)	India	IND	3.17E+11	4.62E+11	1.19E+12	1.32E+12	1.66E+12	1.82E+12	1.83E+12	1.86E+12	2.04E+12	2.10E+12	2.27E+12	2.60E+12
GDP (current US$)	Indonesia	IDN	1.06E+11	1.65E+11	5.10E+11	5.40E+11	7.55E+11	8.93E+11	9.18E+11	9.13E+11	8.91E+11	8.61E+11	9.32E+11	1.02E+12
GDP (current US$)	Kenya	KEN	8572359163	12705357103	35895153328	37021512049	40000088347	41954942417	50334699324	55096730083	61448046802	64007293815	70875289605	74938190655
GDP (current US$)	Kiribati	KIR	39809538.68	67254174.4	139125482.3	130465372	153275912.7	177142135.1	188045661.6	187153601.1	178869298.7	169140560.4	181551516.5	196150061.3
GDP (current US$)	"Korea, Dem. People’s Rep."	PRK	..	..	..	..	..	..	..	..	..	..	..	..
GDP (current US$)	Kosovo	XKX	..	1849196082	5687488209	5653792720	5829933775	6686683347	6500192728	7073420074	7386891336	6439946767	6715486726	7128690557
GDP (current US$)	Kyrgyz Republic	KGZ	2674000000	1369693171	5139957785	4690062255	4794357795	6197766119	6605139933	7335027592	7468096567	6678178340	6813092066	7564738836
GDP (current US$)	Lao PDR	LAO	865559856.2	1731198022	5443915121	5832915387	7127792630	8749241114	10191350120	11942230508	13268458232	14390391264	15805707154	16853079615
GDP (current US$)	Lesotho	LSO	596415104.5	887295267.9	1870722801	1865963015	2385950664	2788022889	2678494689	2526020566	2614576996	2505879960	2291319972	2639386291
GDP (current US$)	Liberia	LBR	384400000	529064600	850040500	1155147400	1292697100	1545400000	1735500000	1946500000	2013000000	2034000000	2101000000	2158000000
GDP (current US$)	Madagascar	MDG	3081479800	3877673539	9413002921	8550363975	8729936136	9892702358	9919780071	10601690872	10673516673	9744243531	10001193315	11499803807
GDP (current US$)	Malawi	MWI	1880771556	1743506531	5320925102	6190991712	6959697194	8003300198	6028470989	5518901971	6054750320	6373201160	5433038647	6303277591
GDP (current US$)	Mali	MLI	2681912030	2954129566	9750822511	10181021770	10678749467	12978107561	12442747897	13246412031	14388360064	13100058100	14034980334	15288163367
GDP (current US$)	Mauritania	MRT	1019600771	1293654175	3978425881	3670515288	4343665075	5179690136	5225533500	5724227185	5391475277	4844223107	4739298311	5024705934
GDP (current US$)	"Micronesia, Fed. Sts."	FSM	147200000	233226300	262868600	279966700	296525300	310502100	326128700	316040600	317999400	315179700	329895600	336427532.9
GDP (current US$)	Moldova	MDA	..	1288429151	6054806101	5439422031	5811604052	7015206498	7284686576	7985349731	7983271111	6512899540	6795741776	8128493432
GDP (current US$)	Mongolia	MNG	2560785660	1136896124	5623216449	4583850368	7189481824	10409797649	12292770631	12582122604	12226514722	11749620620	11183458131	11488046881
GDP (current US$)	Morocco	MAR	30180108562	38857251336	92507257784	92897320376	93216746662	1.01E+11	98266306615	1.07E+11	1.10E+11	1.01E+11	1.04E+11	1.09E+11
GDP (current US$)	Mozambique	MOZ	2512079324	5016469069	11494837053	10911698208	10154238250	13131168012	14534278446	16018848991	16961117243	14798399862	11014862242	12333859926
GDP (current US$)	Myanmar	MMR	..	8905066164	31862554102	36906181381	49540813342	59977326086	59937797559	60269734045	65446402659	59687373958	63225097051	69322122756
GDP (current US$)	Nepal	NPL	3627562403	5494252208	12545438605	12854985464	16002656434	18913574371	18851513891	19271168018	20002968838	21410840909	21131983246	24472013234
GDP (current US$)	Nicaragua	NIC	1009455484	5107329007	8496965842	8298695145	8758622329	9774316692	10532001130	10982972256	11880438824	12611087031	13184989878	13814261536
GDP (current US$)	Niger	NER	2480673305	1798374468	5403363917	5397121856	5718589799	6409169890	6942209336	7667949964	8229732168	7251323996	7606749314	8119732793
GDP (current US$)	Nigeria	NGA	30757075595	46386011231	2.08E+11	1.69E+11	3.69E+11	4.12E+11	4.61E+11	5.15E+11	5.68E+11	4.81E+11	4.05E+11	3.76E+11
GDP (current US$)	Pakistan	PAK	40010424929	73952374970	1.70E+11	1.68E+11	1.77E+11	2.14E+11	2.24E+11	2.31E+11	2.44E+11	2.71E+11	2.79E+11	3.05E+11
GDP (current US$)	Papua New Guinea	PNG	3219730365	3521339699	11670678864	11619541940	14250726290	17984816533	21295834133	21261305413	23060047128	20638636035	19904808312	21088758485
GDP (current US$)	Philippines	PHL	44311593756	81026300311	1.74E+11	1.68E+11	2.00E+11	2.24E+11	2.50E+11	2.72E+11	2.85E+11	2.93E+11	3.05E+11	3.14E+11
GDP (current US$)	Rwanda	RWA	2550185618	1734938652	4860093843	5378925895	5773084568	6563320570	7334917697	7621923308	8016591928	8277613194	8475681533	9136689514
GDP (current US$)	Sao Tome and Principe	STP	..	..	188021168.8	187821029	197454053.1	233213522.6	252560557.1	302925489.7	348941656.8	315520894.9	354238109.3	390871568.6
GDP (current US$)	Senegal	SEN	5716644272	4679604754	13439023281	12814961485	12948906289	14390776644	14225310519	14851057085	15304363138	13640668374	14683747154	16374743753
GDP (current US$)	Sierra Leone	SLE	649644826.8	635874002.2	2505458705	2453899847	2578026297	2942546781	3801862611	4920343195	5015157816	4218723875	3556036535	3774270392
GDP (current US$)	Solomon Islands	SLB	302515026.9	435103853.5	608293860.3	597765363.1	681151190	932725578.8	1063879451	1129787202	1172268296	1154650066	1232699140	1303453616
GDP (current US$)	Somalia	SOM	..	..	..	..	..	..	..	6486974549	6568443573	6631336625	6752653099	7368560695
GDP (current US$)	South Sudan	SSD	..	..	..	..	..	17273335564	11266779661	14940338983	15099661017	10906867790	2904114903	..
GDP (current US$)	Sri Lanka	LKA	8032551173	16595882819	40715240469	42067974595	56728002830	65289915890	68436230408	74294206491	79359306576	80554807486	81788375090	87174682200
GDP (current US$)	Sudan	SDN	12408647541	12257418326	54526580232	53150209168	65634109237	67327289320	68125631150	72065940086	82151588419	97156119150	95584380032	1.17E+11
GDP (current US$)	Swaziland	SWZ	1114703088	1738100853	3294093485	3580417067	4438778424	4820499924	4823831657	4560713074	4377293816	4020275298	3720649375	4408564260
GDP (current US$)	Syrian Arab Republic	SYR	12308624284	19325894913	..	..	..	..	..	..	..	..	..	..
GDP (current US$)	Tajikistan	TJK	2629395852	860550305.8	5161336170	4979481980	5642178580	6522732203	7633049792	8506674783	9236309138	7853450374	6951657159	7145701019
GDP (current US$)	Tanzania	TZA	4258743263	10185786383	27368386358	28573777052	31407908612	33878631649	39087748240	44413616116	48219734752	45623490992	47388395823	52090320325
GDP (current US$)	Timor-Leste	TLS	..	439543789.9	4391333476	3199550317	3998696649	5681940845	6671047974	5649813361	4045377828	3104426021	2521007679	2954621000
GDP (current US$)	Togo	TGO	1628427515	1294250233	3163416242	3163000529	3172945645	3756023160	3866618282	4080929201	4482880424	4087775415	4388569576	4812554346
GDP (current US$)	Tunisia	TUN	12290568182	21473188882	44856586316	43454935940	44050929160	45810626509	45044112939	46251061734	47587913059	43156708809	42062549395	40256675209
GDP (current US$)	Uganda	UGA	4304398866	6193246837	14239026630	18168902154	20186496527	20176025418	23114293019	24599550742	27291880327	27102650472	24078931744	25891058946
GDP (current US$)	Ukraine	UKR	81456895543	31261718319	1.80E+11	1.17E+11	1.36E+11	1.63E+11	1.76E+11	1.83E+11	1.34E+11	91030959455	93270479389	1.12E+11
GDP (current US$)	Uzbekistan	UZB	13360607918	13760374488	29549438884	33689223673	39332770929	45915191189	51821573338	57690453461	63067077179	66903804143	67067565989	48717685984
GDP (current US$)	Vanuatu	VUT	158397403	272014693.1	607958616.1	610066628.7	700804286.2	792149700.7	781702874.1	801787555.9	814954307	737917151.4	787942567.4	862879789.4
GDP (current US$)	Vietnam	VNM	6471740806	31172518403	99130304099	1.06E+11	1.16E+11	1.36E+11	1.56E+11	1.71E+11	1.86E+11	1.93E+11	2.05E+11	2.24E+11
GDP (current US$)	West Bank and Gaza	PSE	..	4313600000	6673500000	7268200000	8913100000	10465400000	11279400000	12476000000	12715600000	12673000000	13425700000	14498100000
GDP (current US$)	"Yemen, Rep."	YEM	5647251908	9636342275	26910851362	25130274124	30906748941	32726417212	35401325144	40415235702	43228582065	34602480339	18213328571	..
GDP (current US$)	Zambia	ZMB	3285217391	3600683040	17910858638	15328342304	20265556274	23460098340	25503370699	28045460442	27150630607	21154394546	20954754378	25808666422
GDP (current US$)	Zimbabwe	ZWE	8783816700	6689957600	4415702800	8621573600	10141859700	12098450700	14242490300	15451768700	15891049200	16304667800	16619960400	17845821400
"Foreign direct investment, net (BoP, current US$)"	Least developed countries: UN classification	LDC	..	..	..	..	..	..	..	..	..	..	..	..
"Foreign direct investment, net (BoP, current US$)"	Afghanistan	AFG	..	..	-40353040	-56107246.5	-190774432	-52173421	-56823660	-48311346	-42975262.5	-170481690.3	-108365378.4	-64185103.93
"Foreign direct investment, net (BoP, current US$)"	Angola	AGO	335700000	-878620000	890672963.9	-2198545055	4567640566	5116413414	9638709259	13164177546	2331384329	-8235471071	-1356672519	..
"Foreign direct investment, net (BoP, current US$)"	Bangladesh	BGD	-3238781.189	-280384629.7	-1137762261	-720457353.6	-1165816161	-967290773.5	-1295344530	-2056085293	-2497421016	-2771250741	-2286521597	-1993662220
"Foreign direct investment, net (BoP, current US$)"	Benin	BEN	-62376777.14	-56153556.57	-173827794.6	-103099138.9	-194717291.1	-101441761.9	-241229097	-301668020.2	-387942352.7	-116967795.5	-114318623.9	..
"Foreign direct investment, net (BoP, current US$)"	Bhutan	BTN	..	..	-3144001.019	-18299707.23	-75274009.03	-31141614.86	-24380673.57	-20433631.07	-28951712.78	-10768411.29	-8075838.42	10991204.89
"Foreign direct investment, net (BoP, current US$)"	Bolivia	BOL	-26100000	-733550000	-509335605.2	-420040000	-650803350.5	-858666303.7	-1059965391	-1749612614	-689679406	-556430243.1	-246499489.9	-644965288.4
"Foreign direct investment, net (BoP, current US$)"	Burkina Faso	BFA	..	..	-103839781.7	-71077878.92	-38150366.72	-41418528.3	-256340928.4	-431973613.1	-287367926.8	-217631986.6	-339842468.8	..
"Foreign direct investment, net (BoP, current US$)"	Burundi	BDI	-1249595.512	-11683240.67	-3251690.822	-348404.5346	-780582.0036	-3354999.181	-604919.6515	-116560393.8	-81719783.8	-49470693.08	-18977.0905	..
"Foreign direct investment, net (BoP, current US$)"	Cabo Verde	CPV	64114.15842	-32806136.11	-213735822.4	-124107059.5	-116158763.7	-100837552.8	-116951430.5	-56525170.52	-168140528.8	-111989153.5	-113293641.5	-95651021.4
"Foreign direct investment, net (BoP, current US$)"	Cambodia	KHM	..	-141910547.8	-794691393.1	-909520389.4	-1321581423	-1343314614	-1799887048	-1826504982	-1677092632	-1653507625	-2165795366	..
"Foreign direct investment, net (BoP, current US$)"	Cameroon	CMR	127926935.6	-149126598.5	-23117191.84	-809089563.8	-35250979.23	-465562144.5	-809721895.1	-704766767.1	-736660568	-638036057.9	-702595924.5	..
"Foreign direct investment, net (BoP, current US$)"	Central African Republic	CAF	3092577.657	..	..	..	..	..	..	..	..	..	..	..
"Foreign direct investment, net (BoP, current US$)"	Chad	TCD	0	..	..	..	..	..	..	..	..	..	..	..
"Foreign direct investment, net (BoP, current US$)"	Comoros	COM	708874.7573	..	-4631824.185	-13784111.95	-8342263.125	-23088175.8	-10375785.66	..	..	..	..	..
"Foreign direct investment, net (BoP, current US$)"	"Congo, Dem. Rep."	COD	..	..	-1672700000	278000000	-2735100000	-1596000000	-2891607809	-1697585831	-1499572153	-1165720010	-932374669.4	..
"Foreign direct investment, net (BoP, current US$)"	"Congo, Rep."	COG	0	-162058771	-2031878788	-1273827749	-928435966.1	-198458836.5	289698606.8	-595923361.8	-1637972305	-3727584117	..	..
"Foreign direct investment, net (BoP, current US$)"	Cote d'Ivoire	CIV	..	..	-446147780.7	-386590290.1	-314068409.1	-286305593.8	-315972742.8	-413875901.3	-422575245.3	-479807382.4	-548847260.9	..
"Foreign direct investment, net (BoP, current US$)"	Djibouti	DJI	..	-3286049.482	-227654582.2	-96859684.56	-36501032.52	-79000230.7	-109998255.7	-286004467.7	-152998382.3	-123998424.5	-159998874.6	..
"Foreign direct investment, net (BoP, current US$)"	"Egypt, Arab Rep."	EGY	-722000000	-1184000000	-7574400000	-6140400000	-5210100000	1108200000	-2586600000	-3891200000	-4359500000	-6743500000	-7900300000	-7192700000
"Foreign direct investment, net (BoP, current US$)"	El Salvador	SLV	-1898272.086	-178400000	-823620000	-365770000	225565382.1	-218429105.5	-466020667.4	-179106499.2	-306446449.3	-396350024	-347852921.6	-791663708
"Foreign direct investment, net (BoP, current US$)"	Eritrea	ERI	..	-27875536.94	..	..	..	..	..	..	..	..	..	..
"Foreign direct investment, net (BoP, current US$)"	Ethiopia	ETH	0	..	-108537544	-221459581.4	-288271568.3	-626509560.4	-278562822.2	-1343876024	-1855050376	-2626520130	-3988953392	..
"Foreign direct investment, net (BoP, current US$)"	"Gambia, The"	GMB	0	..	-70792382.32	-39447343.71	-37155533.36	-94342122.94	-51171214.67	-73181699.96	-35234966.5	652250.0557	523430.1683	..
"Foreign direct investment, net (BoP, current US$)"	Georgia	GEO	..	-128067895.3	-1423111158	-682716945.9	-709952045.4	-983331871.4	-725975436.3	-900730320.4	-1411329523	-1343356814	-1195677708	-1593800321
"Foreign direct investment, net (BoP, current US$)"	Ghana	GHA	-14800000	-165900000	-2714916344	-2365640000	-2527350000	-3222243000	-3293430000	-3226330000	-3356989444	-2970893677	-3470668373	-3239080000
"Foreign direct investment, net (BoP, current US$)"	Guinea	GIN	-17860000	-9942000	-318240000	-140850000	-101350000	-955240000	-603550000	-1060000	77057390.4	48221446.69	-1513372474	..
"Foreign direct investment, net (BoP, current US$)"	Guinea-Bissau	GNB	0	..	-5970066.658	-17540200	-27710200	-24165753.08	-6773782.933	-19637861.84	-26105379.55	-16230041.41	-13954800	..
"Foreign direct investment, net (BoP, current US$)"	Haiti	HTI	-8000000	-13250000	-29800000	-55470000	-178000000	-119000000	-156000000	-161918586.3	-99000000	-105680000	-104900000	..
"Foreign direct investment, net (BoP, current US$)"	Honduras	HND	-43500000	-375159148.5	-1007343559	-505263098.5	-970575785.3	-1012297708	-850958332.9	-991605737	-1314822449	-951580322.1	-900072751.5	-1012454333
"Foreign direct investment, net (BoP, current US$)"	India	IND	0	-3074684332	-24149749830	-19485789183	-11428785746	-23890659988	-15442447343	-26388082470	-22890162761	-36495216491	-39411278940	-28722773129
"Foreign direct investment, net (BoP, current US$)"	Indonesia	IDN	-1093000000	4550355286	-3418723399	-2628247483	-11106333135	-11528394762	-13716225988	-12170055179	-14733198283	-10704478317	-16135916019	-20151400325
"Foreign direct investment, net (BoP, current US$)"	Kenya	KEN	-57081096.18	-110904550.4	-51819059.31	-70269794.39	-176486731.9	-1364485299	-1141800837	-920213200.2	-745818769.2	-377731862.2	-235647294	-414548066.7
"Foreign direct investment, net (BoP, current US$)"	Kiribati	KIR	-299752.548	..	1294501.592	-4944767.456	6662197.45	415900.0046	2453360.915	191745.7618	-1178199.425	-790860.2813	-2018999.834	..
"Foreign direct investment, net (BoP, current US$)"	"Korea, Dem. People’s Rep."	PRK	..	..	..	..	..	..	..	..	..	..	..	..
"Foreign direct investment, net (BoP, current US$)"	Kosovo	XKX	..	..	-500230651.8	-388266795.3	-440044396.9	-527926857	-272975391.4	-331574382.3	-164298862.3	-302192096.6	-196683281.5	-280954640.7
"Foreign direct investment, net (BoP, current US$)"	Kyrgyz Republic	KGZ	..	6860124.961	-377120091.4	-189644600	-455152400	-689582900	-277059600	-619062900	-230435500	-1009094000	-578968800	-123092500
"Foreign direct investment, net (BoP, current US$)"	Lao PDR	LAO	-6000000	-33890000	-227770000	-318598209.1	-278805903.1	-300743507.1	-294375016	-426667686.2	-913243369.8	-1421167447	-997439368.7	..
"Foreign direct investment, net (BoP, current US$)"	Lesotho	LSO	-16478706.52	-32402238.3	-11009973.06	-91349553.1	-9507301.296	-61173319.21	-56653435.23	-50429031.34	-94459059.36	-113220010.4	-78477881.36	-43161840.14
"Foreign direct investment, net (BoP, current US$)"	Liberia	LBR	..	..	-394536077.4	-217803415.7	-452342327.6	-1312748380	-646600000	-700267800	-720075739.2	-721033135.4	..	..
"Foreign direct investment, net (BoP, current US$)"	Madagascar	MDG	-22387360.46	-82952580.71	-1089899435	-1267146401	-766159859.8	-773203075.7	-778360509.8	-549610186.8	-313964633.3	-435345863.4	-451114994.4	..
"Foreign direct investment, net (BoP, current US$)"	Malawi	MWI	0	-25999996.36	-176874037.6	-50460877.98	-54710016.04	-811808608.3	4343677.522	-455560722	-602823772.4	-521198057	-329847987.6	-282145009.5
"Foreign direct investment, net (BoP, current US$)"	Mali	MLI	-5729716.324	-78426770.67	-179698650.3	-749365254.6	-398504254	-551768801	-381915056.6	-304998357.6	-143408547	..	..	..
"Foreign direct investment, net (BoP, current US$)"	Mauritania	MRT	-6736220.521	..	..	..	..	..	-1386098851	-1126004760	-502589833.8	-501726765.7	-271134845	-588217194.8
"Foreign direct investment, net (BoP, current US$)"	"Micronesia, Fed. Sts."	FSM	..	..	..	0	0	0	0	0	-20721200	..	..	..
"Foreign direct investment, net (BoP, current US$)"	Moldova	MDA	..	-127460000	-695380000	-261610000	-278520000	-314150000	-224170000	-211120000	-301020000	-209120000	-74680000	-205770000
"Foreign direct investment, net (BoP, current US$)"	Mongolia	MNG	..	-53697000	-838455402.7	-569803704	-1629095579	-4476599427	-4207818065	-2018717324	-230686868.6	-82911241.94	4170877673	-1445736124
"Foreign direct investment, net (BoP, current US$)"	Morocco	MAR	-165122977.8	-368034434.7	-2150359075	-1491300236	-660647770	-2273339953	-2482391451	-2916210628	-3094163539	-2596320890	-1682564851	-1693776405
"Foreign direct investment, net (BoP, current US$)"	Mozambique	MOZ	..	..	-591647410.6	-895589396.6	-1020588233	-3580348639	-5626241536	-6175124643	-4901790089	-3866831987	-3093429233	-2293088454
"Foreign direct investment, net (BoP, current US$)"	Myanmar	MMR	-161144560.3	-254789765.5	-863880447.3	-1078972201	-901133534.9	-2519813313	-1333856137	-2254603965	-2175015284	-4083839112	-3278096410	-4684890471
"Foreign direct investment, net (BoP, current US$)"	Nepal	NPL	0	484826.7123	-995123.9307	-38271269.97	-87741711.63	-94022157.12	-91996607.25	-74244986.77	-30403267.33	-51895699.93	-105996375.6	-196265098.6
"Foreign direct investment, net (BoP, current US$)"	Nicaragua	NIC	0	-266500000	-608400000	-463000000	-474800000	-928600000	-704300000	-665400000	-790100000	-904900000	-835100000	-816200000
"Foreign direct investment, net (BoP, current US$)"	Niger	NER	-40794845.65	-9057886.1	-316054798.9	-725889350.7	-1000054471	-1056503074	-839091538.7	-618403321.3	-733329358.1	-495139173	-260942981.4	..
"Foreign direct investment, net (BoP, current US$)"	Nigeria	NGA	-587882970.6	-1140167556	-7144050854	-7029618943	-5114515368	-8024348691	-5539804914	-4335435961	-3052059005	-1664714990	-3141193257	-2213170245
"Foreign direct investment, net (BoP, current US$)"	Pakistan	PAK	-243314680.5	-297000000	-5389000000	-2267000000	-1975000000	-1264000000	-782000000	-1121000000	-1746000000	-1596000000	-2436000000	-2763000000
"Foreign direct investment, net (BoP, current US$)"	Papua New Guinea	PNG	-155386699.1	-95931144.21	30591591.76	-418816685.9	-28720688.24	309831004.1	63782355.93	-18222240.04	30389394.59	-203582439.3	39769816.36	..
"Foreign direct investment, net (BoP, current US$)"	Philippines	PHL	-530000000	-2115000000	630006878	-167490840.2	1641779592	342490414.4	957805177.3	-90422443.46	1014348569	-99650560.95	-5882813657	-8110304107
"Foreign direct investment, net (BoP, current US$)"	Rwanda	RWA	..	..	..	..	-250504802.9	-119105385.8	-254963244.4	-257642420.2	-310954594.9	-219881371.5	-218543436.3	-245149102.8
"Foreign direct investment, net (BoP, current US$)"	Sao Tome and Principe	STP	0	-3800000	-79048800.06	-15349708.02	-50544775.6	-31855092.12	-22068739.45	-11252126.22	-22558431.02	-25269253.02	-22324985.99	-40740078.38
"Foreign direct investment, net (BoP, current US$)"	Senegal	SEN	-66442671.99	-62288592.46	-271367963	-242912600.9	-263872528.5	-290760442.2	-220182223.6	-277959111.8	-375138775.5	..	..	..
"Foreign direct investment, net (BoP, current US$)"	Sierra Leone	SLE	-32434698.87	-39000824.52	-57623740.47	-110845502.5	-238437429.3	-950477689	-722447242.9	-429664519.9	-375089670.5	-252435829.4	-137965732.5	..
"Foreign direct investment, net (BoP, current US$)"	Solomon Islands	SLB	-10439803.07	-12969325.42	-71402471.56	-45599374.39	-163629407.1	-116360706.7	-21340127.43	-50409458.67	-20348944.73	-27508876.56	-35978190.58	-30732110.68
"Foreign direct investment, net (BoP, current US$)"	Somalia	SOM	..	..	..	..	..	..	..	..	..	..	..	..
"Foreign direct investment, net (BoP, current US$)"	South Sudan	SSD	..	..	..	..	..	..	..	..	-1723221.93	-1180000	1880000	..
"Foreign direct investment, net (BoP, current US$)"	Sri Lanka	LKA	-42532691.03	-172941409.8	-690500000	-384000000	-435059000	-895920000	-877190942.7	-867477987.8	-826805650.5	-626668319.8	-660241239.1	-1303361639
"Foreign direct investment, net (BoP, current US$)"	Sudan	SDN	0	-392200000	-1653120315	-1726298403	-2063730998	-1734376994	-2311460740	-1687884179	-1251280889	-1728373403	-1063767535	-1065298481
"Foreign direct investment, net (BoP, current US$)"	Swaziland	SWZ	-22494311.2	-73583808.63	-113670312.4	-58689385.68	-131753962	-98310781.81	-34740787.04	-86675374.5	-25253691.83	-32719601.21	-32547312.56	..
"Foreign direct investment, net (BoP, current US$)"	Syrian Arab Republic	SYR	0	-270000000	-1465623386	-2569548272	-1469196863	..	..	..	..	..	..	..
"Foreign direct investment, net (BoP, current US$)"	Tajikistan	TJK	..	..	-375787400	-15819400	-79411810	-161120270	-239347550	-125482830	-309306960	-426147890	-240532377.2	-200105714
"Foreign direct investment, net (BoP, current US$)"	Tanzania	TZA	0	-463400858.8	-1383260000	-952630000	-1813200000	-1229361018	-1799646137	-2087261310	-1672550443	-1604581620	-1365387800	..
"Foreign direct investment, net (BoP, current US$)"	Timor-Leste	TLS	..	..	-39697970.75	-47954750.66	-4332806.77	-82058168.54	-27715777.18	-43190438.95	-21238824.86	-30328700	7188000	-6715937.467
"Foreign direct investment, net (BoP, current US$)"	Togo	TGO	-18239596.96	-41471887.56	-39820881.46	-11113833.89	-48641465.18	536156321.6	298811932.4	-204221100.2	304544328.9	90756741.39	..	..
